Timestamp,Offset (s),Max Error (s)
2025-02-19 08:42:30,0.000509,0.004713
2025-02-19 09:42:30,0.002183,0.005505
2025-02-19 10:42:30,0.092895,0.09795
2025-02-19 11:42:31,0.157885,0.131865
2025-02-19 12:42:31,0.080464,0.007876
2025-02-19 13:42:31,0.11957,0.091644
2025-02-19 14:42:31,0.028253,0.006505
2025-02-19 15:42:31,0.016494,0.00459
