Timestamp,Current
1740912558.963739,0.037
1740912558.9686027,0.052000000000000005
1740912558.9734607,0.052000000000000005
1740912558.9783008,0.047
1740912558.9831388,0.047
1740912558.9879835,0.036000000000000004
1740912558.9928308,0.032
1740912558.9976685,0.032
1740912559.0025046,0.034
1740912559.007343,0.034
1740912559.012181,0.033
1740912559.0170164,0.032
1740912559.0218527,0.032
1740912559.0266898,0.033
1740912559.0315268,0.033
1740912559.0363657,0.034
1740912559.041203,0.036000000000000004
1740912559.0460403,0.036000000000000004
1740912559.050879,0.036000000000000004
1740912559.0557163,0.036000000000000004
1740912559.0605536,0.044
1740912559.0653894,0.044
1740912559.0702264,0.047
1740912559.075065,0.035
1740912559.0799017,0.035
1740912559.084737,0.048
1740912559.0895731,0.048
1740912559.0944088,0.041
1740912559.0992448,0.033
1740912559.1040804,0.033
1740912559.1089182,0.036000000000000004
1740912559.1137562,0.036000000000000004
1740912559.118594,0.05
1740912559.123429,0.033
1740912559.1282644,0.033
1740912559.133101,0.034
1740912559.1379366,0.034
1740912559.1427722,0.035
1740912559.1476078,0.036000000000000004
1740912559.1524465,0.036000000000000004
1740912559.1572835,0.041
1740912559.1621192,0.041
1740912559.166955,0.048
1740912559.171792,0.056
1740912559.1766295,0.056
1740912559.1814659,0.077
1740912559.1863017,0.077
1740912559.1911387,0.067
1740912559.1959743,0.067
1740912559.2008102,0.11
1740912559.2056458,0.058
1740912559.2104821,0.058
1740912559.2153182,0.057
1740912559.220154,0.057
1740912559.224989,0.059000000000000004
1740912559.229827,0.035
1740912559.234663,0.035
1740912559.2394989,0.042
1740912559.2443254,0.042
1740912559.2491622,0.043
1740912559.2539978,0.034
1740912559.258834,0.034
1740912559.2636693,0.047
1740912559.268505,0.047
1740912559.273343,0.034
1740912559.2781806,0.041
1740912559.2830167,0.041
1740912559.2878523,0.044
1740912559.292689,0.044
1740912559.297525,0.034
1740912559.3023603,0.033
1740912559.307196,0.033
1740912559.3120327,0.032
1740912559.3168685,0.032
1740912559.3217046,0.033
