Timestamp,Current
1741437898.6773057,0.037
1741437898.682165,0.038
1741437898.6870067,0.038
1741437898.6918454,0.037
1741437898.6966822,0.055
1741437898.70166,0.055
1741437898.7064998,0.067
1741437898.7113366,0.067
1741437898.7161736,0.082
1741437898.7210102,0.048
1741437898.7258475,0.048
1741437898.7306836,0.037
1741437898.7355206,0.037
1741437898.740357,0.037
1741437898.7451937,0.037
1741437898.7500305,0.037
1741437898.7548673,0.037
1741437898.7597034,0.037
1741437898.7645395,0.037
1741437898.769376,0.037
1741437898.7742126,0.037
1741437898.7790487,0.037
1741437898.783889,0.037
1741437898.7887266,0.04
1741437898.7935634,0.04
1741437898.7984,0.04
1741437898.8032367,0.037
1741437898.808073,0.037
1741437898.8129098,0.037
1741437898.817746,0.037
1741437898.8225825,0.037
1741437898.827419,0.037
1741437898.8322558,0.037
1741437898.8370922,0.037
1741437898.8419287,0.037
1741437898.8467653,0.037
1741437898.8516023,0.04
1741437898.8564389,0.04
1741437898.8612752,0.037
1741437898.8661115,0.037
1741437898.8709483,0.04
1741437898.8757849,0.04
1741437898.8806207,0.039
1741437898.8854575,0.04
1741437898.8902934,0.04
1741437898.8951294,0.037
1741437898.8999655,0.037
1741437898.904802,0.037
1741437898.909638,0.037
1741437898.9144747,0.037
1741437898.9193108,0.037
1741437898.9241474,0.037
1741437898.9289849,0.037
1741437898.9338212,0.037
1741437898.938658,0.037
1741437898.9434946,0.037
1741437898.948331,0.037
1741437898.9531672,0.038
1741437898.9580035,0.036000000000000004
1741437898.9628415,0.036000000000000004
1741437898.9676793,0.039
1741437898.9725156,0.039
1741437898.9773521,0.039
1741437898.9821885,0.036000000000000004
1741437898.9870298,0.036000000000000004
1741437898.991867,0.038
1741437898.9967034,0.038
1741437899.00154,0.038
1741437899.0063767,0.038
1741437899.011213,0.037
1741437899.0160491,0.055
1741437899.0208852,0.055
1741437899.025722,0.067
1741437899.0305583,0.067
1741437899.035395,0.07
1741437899.040231,0.061
1741437899.0450687,0.061
1741437899.0499053,0.037
1741437899.0547428,0.037
1741437899.0595791,0.039
1741437899.0644155,0.038
1741437899.0692518,0.038
1741437899.074088,0.037
1741437899.0789237,0.037
1741437899.0837605,0.037
1741437899.0885987,0.037
1741437899.093435,0.037
1741437899.0982711,0.04
1741437899.1031072,0.04
1741437899.107943,0.04
1741437899.112779,0.037
1741437899.1176147,0.037
1741437899.1224525,0.037
1741437899.1272883,0.037
1741437899.1321242,0.037
1741437899.1369605,0.037
1741437899.1417968,0.037
1741437899.1466327,0.038
1741437899.1514688,0.038
1741437899.1563046,0.037
1741437899.1611404,0.037
1741437899.1659768,0.038
1741437899.1708124,0.039
1741437899.1756485,0.039
1741437899.1804843,0.038
1741437899.1853209,0.038
1741437899.1901588,0.039
1741437899.194995,0.04
1741437899.199831,0.04
1741437899.204667,0.038
1741437899.2095034,0.038
1741437899.2143393,0.037
1741437899.2191753,0.037
1741437899.2240112,0.037
1741437899.228847,0.037
1741437899.2336829,0.037
1741437899.2385185,0.037
1741437899.2433546,0.037
1741437899.2481906,0.037
1741437899.2530265,0.04
1741437899.2578623,0.04
1741437899.262698,0.037
1741437899.2675345,0.037
1741437899.272371,0.038
1741437899.2772071,0.04
1741437899.2820435,0.04
1741437899.2868798,0.039
1741437899.2917173,0.039
1741437899.296554,0.038
1741437899.30139,0.038
1741437899.3062263,0.038
1741437899.3110626,0.037
1741437899.3158987,0.037
1741437899.3207486,0.039
1741437899.3255947,0.039
1741437899.3304322,0.039
1741437899.3352692,0.06
1741437899.3401058,0.06
1741437899.344943,0.065
1741437899.34978,0.101
1741437899.3546164,0.101
1741437899.3594532,0.086
1741437899.3642895,0.086
1741437899.3691258,0.076
1741437899.3739624,0.076
1741437899.3787992,0.096
1741437899.3836355,0.094
1741437899.3884716,0.094
1741437899.3933113,0.094
1741437899.398148,0.094
1741437899.4029841,0.094
1741437899.4078207,0.094
1741437899.4126573,0.094
1741437899.4174936,0.092
1741437899.42233,0.092
1741437899.4271662,0.041
1741437899.4320025,0.037
1741437899.4368393,0.037
1741437899.4416761,0.037
1741437899.4465125,0.037
1741437899.4513488,0.038
1741437899.456185,0.038
1741437899.4610214,0.038
1741437899.4658582,0.037
1741437899.4706945,0.037
1741437899.475531,0.04
1741437899.4803667,0.037
1741437899.4852035,0.037
1741437899.4900398,0.038
1741437899.4948776,0.038
1741437899.4997146,0.039
1741437899.5045512,0.039
1741437899.5093877,0.041
1741437899.514224,0.037
