Timestamp,Current
1741436796.5651188,0.039
1741436796.5699742,0.038
1741436796.5748188,0.038
1741436796.579658,0.038
1741436796.5844946,0.038
1741436796.5893338,0.037
1741436796.5941787,0.039
1741436796.5990229,0.039
1741436796.603861,0.055
1741436796.6086981,0.055
1741436796.613536,0.067
1741436796.6183717,0.07
1741436796.623209,0.07
1741436796.628047,0.114
1741436796.6328833,0.114
1741436796.6377199,0.12
1741436796.6425567,0.059000000000000004
1741436796.6473968,0.059000000000000004
1741436796.6522357,0.037
1741436796.6570735,0.037
1741436796.661911,0.038
1741436796.6667473,0.037
1741436796.671583,0.037
1741436796.6764197,0.037
1741436796.6812568,0.037
1741436796.6860933,0.04
1741436796.69093,0.04
1741436796.6957657,0.04
1741436796.7006018,0.037
1741436796.705439,0.037
1741436796.7102752,0.039
1741436796.7151113,0.039
1741436796.7199476,0.037
1741436796.7247875,0.037
1741436796.7296238,0.037
1741436796.73446,0.037
1741436796.7392964,0.037
1741436796.7441325,0.038
1741436796.748969,0.037
1741436796.7538054,0.037
1741436796.758642,0.039
1741436796.7634783,0.039
1741436796.7683141,0.038
1741436796.7731502,0.04
1741436796.7779865,0.04
1741436796.7828233,0.041
1741436796.78766,0.041
1741436796.7924957,0.037
1741436796.7973318,0.037
1741436796.8021681,0.037
1741436796.807004,0.037
1741436796.8118403,0.037
1741436796.8166766,0.037
1741436796.8215127,0.037
1741436796.8263512,0.037
1741436796.8311875,0.038
1741436796.8360236,0.038
1741436796.8408594,0.037
1741436796.845696,0.037
1741436796.8505323,0.038
1741436796.8553684,0.037
1741436796.8602042,0.037
1741436796.8650408,0.039
1741436796.869877,0.039
1741436796.8747144,0.04
1741436796.8795507,0.036000000000000004
1741436796.8843882,0.036000000000000004
1741436796.8892257,0.037
1741436796.894062,0.037
1741436796.898898,0.037
1741436796.9037342,0.038
1741436796.9085703,0.038
1741436796.9134142,0.037
1741436796.9182506,0.037
1741436796.923087,0.061
1741436796.927925,0.07200000000000001
1741436796.9327638,0.07200000000000001
1741436796.9376016,0.069
1741436796.942438,0.069
1741436796.947274,0.116
1741436796.9521105,0.11800000000000001
1741436796.9569483,0.11800000000000001
1741436796.961786,0.11
1741436796.9666224,0.11
1741436796.971459,0.045
1741436796.9762952,0.045
1741436796.981131,0.037
1741436796.9859676,0.037
1741436796.9908037,0.037
1741436796.9956403,0.041
1741436797.0004768,0.041
1741436797.0053139,0.037
1741436797.0101502,0.037
1741436797.0149865,0.037
1741436797.0198224,0.037
1741436797.0246587,0.037
1741436797.0294964,0.037
1741436797.0343328,0.037
1741436797.0391688,0.037
1741436797.044005,0.04
1741436797.048841,0.04
1741436797.053677,0.04
1741436797.058513,0.038
1741436797.0633492,0.038
1741436797.068185,0.037
1741436797.0730212,0.037
1741436797.0778575,0.037
1741436797.0826933,0.037
1741436797.08753,0.04
1741436797.0923657,0.037
1741436797.097202,0.037
1741436797.1020386,0.038
1741436797.1068747,0.038
1741436797.111711,0.039
1741436797.1165473,0.038
1741436797.1213832,0.038
1741436797.1262195,0.038
1741436797.1310573,0.038
1741436797.1358933,0.038
1741436797.1407294,0.038
1741436797.1455655,0.038
1741436797.1504018,0.037
1741436797.155238,0.037
1741436797.1600742,0.038
1741436797.1649108,0.037
1741436797.1697466,0.037
1741436797.1745827,0.041
1741436797.1794188,0.041
1741436797.1842551,0.04
1741436797.1890914,0.037
1741436797.193928,0.037
1741436797.198764,0.038
1741436797.2036002,0.038
1741436797.2084363,0.038
1741436797.2132726,0.038
1741436797.2181087,0.037
1741436797.2229447,0.038
1741436797.2277803,0.038
1741436797.2326183,0.037
1741436797.237455,0.037
1741436797.2422907,0.061
1741436797.247127,0.082
1741436797.2519631,0.082
1741436797.2567987,0.063
1741436797.261635,0.063
1741436797.2664714,0.117
1741436797.2713075,0.117
1741436797.2761436,0.117
1741436797.28098,0.106
1741436797.2858167,0.106
1741436797.2906525,0.115
1741436797.2954884,0.07200000000000001
1741436797.3003252,0.07200000000000001
1741436797.3051627,0.092
1741436797.3099985,0.092
1741436797.3148344,0.07200000000000001
1741436797.3197062,0.093
1741436797.3245602,0.093
1741436797.3293993,0.078
1741436797.3342392,0.078
1741436797.3390758,0.088
1741436797.3439116,0.088
1741436797.3487504,0.083
1741436797.353587,0.088
1741436797.3584228,0.088
1741436797.3632593,0.085
1741436797.3680964,0.085
1741436797.372933,0.086
1741436797.3777688,0.085
1741436797.3826048,0.085
1741436797.3874416,0.086
1741436797.3922777,0.086
1741436797.397115,0.088
1741436797.4019508,0.073
1741436797.4067872,0.073
1741436797.411623,0.114
1741436797.4164588,0.114
1741436797.4212947,0.093
1741436797.4261315,0.092
1741436797.430967,0.092
1741436797.4358044,0.092
1741436797.44064,0.092
1741436797.4454763,0.092
1741436797.4503121,0.089
1741436797.455148,0.089
1741436797.459983,0.088
1741436797.4648197,0.088
1741436797.4696555,0.126
1741436797.4744916,0.126
1741436797.4793274,0.052000000000000005
1741436797.484166,0.04
1741436797.4890025,0.04
1741436797.4938383,0.04
1741436797.498674,0.04
1741436797.5035102,0.038
1741436797.5083466,0.036000000000000004
1741436797.5131838,0.036000000000000004
1741436797.5180209,0.038
1741436797.5228567,0.038
1741436797.5276935,0.038
1741436797.5325298,0.038
1741436797.5373673,0.038
1741436797.5422032,0.037
1741436797.5470397,0.037
1741436797.5518756,0.037
1741436797.5567114,0.037
1741436797.5615468,0.037
1741436797.566383,0.055
1741436797.5712187,0.055
1741436797.5760548,0.066
1741436797.58089,0.066
1741436797.5857265,0.091
1741436797.5905626,0.116
1741436797.5953996,0.116
1741436797.6002355,0.124
1741436797.6050718,0.124
1741436797.6099083,0.07200000000000001
1741436797.614746,0.09
1741436797.6195822,0.09
1741436797.624419,0.07100000000000001
1741436797.6292567,0.07100000000000001
1741436797.6340938,0.09
1741436797.638931,0.07100000000000001
1741436797.6437678,0.07100000000000001
1741436797.6486056,0.089
1741436797.6534414,0.089
1741436797.6582768,0.07200000000000001
1741436797.6631138,0.092
1741436797.66795,0.092
1741436797.6727858,0.076
1741436797.677621,0.076
1741436797.6824567,0.084
1741436797.6872938,0.12
1741436797.6921296,0.12
1741436797.6969655,0.092
1741436797.7018013,0.092
1741436797.7066376,0.08700000000000001
1741436797.7114747,0.08700000000000001
1741436797.7163112,0.078
1741436797.7211468,0.10300000000000001
1741436797.7259853,0.10300000000000001
1741436797.7308223,0.10300000000000001
1741436797.7356594,0.10300000000000001
1741436797.7404964,0.10300000000000001
1741436797.7453346,0.10400000000000001
1741436797.7501717,0.10400000000000001
1741436797.7550082,0.098
1741436797.7598436,0.098
1741436797.7646801,0.111
1741436797.769516,0.07200000000000001
1741436797.7743528,0.07200000000000001
1741436797.7791896,0.038
1741436797.7840261,0.038
1741436797.788862,0.037
1741436797.7936983,0.04
1741436797.798534,0.04
1741436797.8033693,0.04
1741436797.8082054,0.04
1741436797.8130414,0.037
1741436797.8178768,0.038
1741436797.8227124,0.038
1741436797.8275487,0.037
1741436797.8323846,0.037
1741436797.8372202,0.037
1741436797.8420565,0.037
1741436797.8468933,0.037
1741436797.8517292,0.04
1741436797.8565648,0.04
1741436797.8614006,0.038
1741436797.8662372,0.038
1741436797.8710728,0.037
1741436797.875909,0.038
1741436797.880744,0.038
1741436797.8855805,0.057
1741436797.8904161,0.057
1741436797.8952518,0.068
1741436797.900087,0.074
1741436797.9049237,0.074
1741436797.9097598,0.116
1741436797.9145956,0.116
1741436797.919431,0.11800000000000001
1741436797.9242687,0.078
1741436797.929105,0.078
1741436797.9339406,0.037
1741436797.9387763,0.037
1741436797.9436135,0.038
1741436797.9484503,0.038
1741436797.953286,0.037
1741436797.9581213,0.038
1741436797.962957,0.038
1741436797.967793,0.037
1741436797.9726288,0.037
1741436797.977464,0.04
1741436797.9822993,0.04
1741436797.9871364,0.04
1741436797.9919722,0.038
1741436797.996808,0.038
1741436798.0016432,0.037
1741436798.00648,0.038
1741436798.0113153,0.038
1741436798.0161512,0.04
1741436798.0209868,0.04
1741436798.02588,0.041
1741436798.0307178,0.037
1741436798.035554,0.037
1741436798.0403895,0.038
1741436798.0452292,0.038
1741436798.0500655,0.037
1741436798.0549016,0.037
