Timestamp,AoI
13758.478950638,0.1367836419995001
13759.36289676,0.020601373998943018
13760.362786661,0.020397567001054995
13761.362737535,0.020261085001038737
13762.362840413,0.02027897799962375
13763.362762843,0.020098644999961834
13764.362908519,0.020127058000070974
13765.363014154,0.020114134000323247
13766.366133028,0.02312126299875672
13767.362784251,0.019662333999804105
13768.363874638,0.020640402999561047
13769.363957032,0.0206081259984785
13770.364197577,0.020732574999783537
13771.364268045,0.02069111399941903
13772.364328495,0.02064193099977274
13773.364688319,0.020895547999316477
13774.364056728,0.02011237999977311
13775.364676625,0.02062240300074336
13776.365025237,0.020860141001321608
13777.366182233,0.02185813399955805
13778.365117192,0.020676330999776837
13779.365931185,0.021337302001484204
13780.365358649,0.020658448000176577
13781.365500793,0.02069323699834058
13782.365651058,0.020733184001073823
