Timestamp,AoI
1741709732.487338,0.00848698616027832
1741709733.488006,0.008996009826660156
1741709734.487942,0.008830070495605469
1741709735.487684,0.008472919464111328
1741709736.487513,0.00820016860961914
1741709737.487277,0.007858991622924805
1741709738.487428,0.007860898971557617
1741709739.498896,0.01920294761657715
1741709740.489008,0.00919485092163086
1741709741.487817,0.007882118225097656
1741709742.487845,0.007787942886352539
1741709743.488154,0.007974863052368164
1741709744.488349,0.008033990859985352
1741709745.488816,0.0083770751953125
1741709746.488593,0.008022069931030273
1741709747.491187,0.010476112365722656
1741709748.488886,0.008039236068725586
1741709749.488803,0.007819890975952148
1741709750.488985,0.00787210464477539
1741709751.489214,0.007954835891723633
1741709752.489599,0.00820302963256836
1741709753.489503,0.007970809936523438
1741709754.489751,0.008095026016235352
