Timestamp,AoI
3288.801916736,-0.01088956000012331
3289.803493424,-0.009486218999882112
3290.802311245,-0.010799463999774161
3291.802934592,-0.010287466000136192
3292.803484326,-0.00984196899980816
3293.8042163,-0.009235457000158931
3294.805144273,-0.008460022999770445
3295.804191532,-0.009582964999935939
3296.805296189,-0.008692975000030856
3297.80541208,-0.008735338999940723
3298.805540025,-0.008725977999802126
3299.805749598,-0.008634854999854724
3300.805969207,-0.008535950999885245
3301.806052611,-0.00856576500018491
3302.810619961,-0.004116017999876931
3303.806112635,-0.008732867000162514
3304.806430202,-0.008528153000042948
3305.806373524,-0.008699513000010484
3306.808489838,-0.006706376000238379
3307.806675112,-0.00863514499997109
3308.806867006,-0.00854954899978111
3309.806924379,-0.008593450999796914
3310.806917824,-0.00870277600006375
3311.807049713,-0.00867944899982831
3312.807208342,-0.008640544999707345
3313.807283376,-0.008670452999922418
3314.807714354,-0.008342154000274604
3315.808152017,-0.008007350000298175
3316.80954772,-0.00671207699997467
3317.809123487,-0.007257585999923322
3318.807770395,-0.008754914000292047
3319.808084792,-0.008555711000099109
3320.808067353,-0.008683451000251807
3321.808178561,-0.008677020999584784
3322.808423917,-0.008534014000360912
3323.80906831,-0.007996723999895039
3324.810982189,-0.006199333000040497
3325.808660935,-0.008627885000350943
3326.808641061,-0.00875179400009074
3327.809021929,-0.008473271999719145
3328.809005034,-0.008590822999849479
3329.80907049,-0.008637426999939635
3330.809077425,-0.008748621999984607
3331.810350699,-0.007580936000067595
3332.809509998,-0.008524221999778092
3333.809499726,-0.008635222000066278
3334.809494175,-0.008741182999983721
3335.809603882,-0.008738938000078633
3336.809889218,-0.00856905899991034
3337.80990494,-0.008656920000248647
3338.814283628,-0.004379107000204385
3339.8100994,-0.008664483999837103
3340.810095192,-0.008770336999987194
3341.810261336,-0.00871327899994867
3342.810423756,-0.008666607000122895
3343.810535989,-0.008657951999794022
3344.810823963,-0.008469810999940819
3345.810716655,-0.008676560000367317
3346.810727773,-0.008763507999901776
