Timestamp,AoI
1741709479.230635,0.010412931442260742
1741709480.228269,0.007863998413085938
1741709481.228337,0.007787942886352539
1741709482.228778,0.008114814758300781
1741709483.229682,0.008910894393920898
1741709484.230253,0.009348869323730469
1741709485.229228,0.00818490982055664
1741709486.225959,0.0047740936279296875
1741709487.232517,0.01120305061340332
1741709488.229229,0.00780487060546875
1741709489.229163,0.0076138973236083984
1741709490.229083,0.0074269771575927734
1741709491.229731,0.007979154586791992
1741709492.231297,0.009437084197998047
1741709493.229234,0.007253885269165039
1741709494.229432,0.007338047027587891
1741709495.229417,0.00722503662109375
1741709496.229108,0.006820201873779297
1741709497.235042,0.012643098831176758
