Timestamp,AoI
1741894400.461827,0.043493032455444336
1741894401.496394,0.0778968334197998
1741894402.459354,0.040747880935668945
1741894403.455014,0.036312103271484375
1741894404.426321,0.007522106170654297
1741894405.430711,0.011764049530029297
1741894406.448928,0.029841184616088867
1741894407.456053,0.03682899475097656
1741894408.461145,0.04179787635803223
1741894409.459023,0.03955698013305664
1741894410.43746,0.017878055572509766
1741894411.44154,0.0218350887298584
1741894412.465382,0.04555320739746094
1741894413.479826,0.059823036193847656
