Sending interval between packets: Constant
Destination host IP address: 192.168.1.124
Destination port number: 1234
Number of UDP packets to transmit: 250
Size of each UDP packet: 50 Byte
Value of ToS/DSCP field in IP header: 0
Interval between sending packets: 20 ms

Opening socket
Sockets are open with sender ToS/DSCP set to 0
Starting to send
SeqNr 	 SendTime 	 ServerTime 	 ReceiveTime 	 Client->Server 	 Server->Client 	 RTT (all times in ns)
0;1741855722525211904;1741855722531714304;1741855722532912640;6502400;1198336;7700736
1;1741855722545197568;1741855722548263424;1741855722549406976;3065856;1143552;4209408
2;1741855722565196032;1741855722566258688;1741855722567480576;1062656;1221888;2284544
3;1741855722585195008;1741855722586147584;1741855722588141056;952576;1993472;2946048
4;1741855722605194752;1741855722607036672;1741855722608462592;1841920;1425920;3267840
5;1741855722625195008;1741855722626180608;1741855722627305984;985600;1125376;2110976
6;1741855722645195520;1741855722646144768;1741855722647264000;949248;1119232;2068480
7;1741855722665196032;1741855722666136320;1741855722667252480;940288;1116160;2056448
8;1741855722685196032;1741855722686169088;1741855722687262976;973056;1093888;2066944
9;1741855722705196288;1741855722706171648;1741855722707261696;975360;1090048;2065408
10;1741855722725196800;1741855722726219520;1741855722728092928;1022720;1873408;2896128
11;1741855722745197056;1741855722746223360;1741855722747393536;1026304;1170176;2196480
12;1741855722765197056;1741855722766243840;1741855722767514624;1046784;1270784;2317568
13;1741855722785197056;1741855722786169344;1741855722787540736;972288;1371392;2343680
14;1741855722805196544;1741855722806147328;1741855722807229952;950784;1082624;2033408
15;1741855722825201408;1741855722826109696;1741855722827238144;908288;1128448;2036736
16;1741855722845197568;1741855722847294208;1741855722848937472;2096640;1643264;3739904
17;1741855722865197568;1741855722866144000;1741855722867254272;946432;1110272;2056704
18;1741855722885198080;1741855722886201856;1741855722887294976;1003776;1093120;2096896
19;1741855722905197824;1741855722906130688;1741855722907243264;932864;1112576;2045440
20;1741855722925198080;1741855722926240256;1741855722928136704;1042176;1896448;2938624
21;1741855722945198848;1741855722946121472;1741855722947217664;922624;1096192;2018816
22;1741855722965198336;1741855722968427776;1741855722969533952;3229440;1106176;4335616
23;1741855722985198336;1741855722986110976;1741855722987216896;912640;1105920;2018560
24;1741855723005198592;1741855723006222336;1741855723007483648;1023744;1261312;2285056
25;1741855723025198848;1741855723026165248;1741855723027295488;966400;1130240;2096640
26;1741855723045199360;1741855723046827008;1741855723047955968;1627648;1128960;2756608
27;1741855723065199872;1741855723066224128;1741855723067323392;1024256;1099264;2123520
28;1741855723085199360;1741855723086127104;1741855723090345984;927744;4218880;5146624
29;1741855723105199360;1741855723106157568;1741855723107251712;958208;1094144;2052352
30;1741855723125199872;1741855723126170880;1741855723127246336;971008;1075456;2046464
31;1741855723145203968;1741855723146234624;1741855723147560704;1030656;1326080;2356736
32;1741855723165204992;1741855723166172160;1741855723167261952;967168;1089792;2056960
33;1741855723185201664;1741855723186209280;1741855723188132608;1007616;1923328;2930944
34;1741855723205201152;1741855723207090432;1741855723208302080;1889280;1211648;3100928
35;1741855723225201408;1741855723226332416;1741855723227536384;1131008;1203968;2334976
36;1741855723245201408;1741855723246195968;1741855723247301376;994560;1105408;2099968
37;1741855723265201664;1741855723266158592;1741855723267273984;956928;1115392;2072320
38;1741855723285201664;1741855723286160896;1741855723287247360;959232;1086464;2045696
39;1741855723305201920;1741855723306183936;1741855723307269632;982016;1085696;2067712
40;1741855723325202176;1741855723326200320;1741855723327538432;998144;1338112;2336256
41;1741855723345201920;1741855723346223872;1741855723348122368;1021952;1898496;2920448
42;1741855723365202176;1741855723367415552;1741855723368512000;2213376;1096448;3309824
43;1741855723385202688;1741855723386170368;1741855723387257856;967680;1087488;2055168
44;1741855723405202176;1741855723406146816;1741855723407218688;944640;1071872;2016512
45;1741855723425203456;1741855723426183168;1741855723427255296;979712;1072128;2051840
46;1741855723445202432;1741855723446214656;1741855723448121600;1012224;1906944;2919168
47;1741855723465202688;1741855723466343168;1741855723469139968;1140480;2796800;3937280
48;1741855723485202688;1741855723486229760;1741855723487497728;1027072;1267968;2295040
49;1741855723505203456;1741855723506216704;1741855723507517696;1013248;1300992;2314240
50	1741855723525204992 lost
51	1741855723545203968 lost
52	1741855723565204224 lost
53	1741855723585204480 lost
54	1741855723605204224 lost
55	1741855723625204736 lost
56	1741855723645204736 lost
57	1741855723665204736 lost
58	1741855723685204992 lost
59	1741855723705205248 lost
60	1741855723725204992 lost
61	1741855723745205504 lost
62	1741855723765205248 lost
63	1741855723785206016 lost
64	1741855723805206272 lost
65	1741855723825212160 lost
66	1741855723845207808 lost
67	1741855723865207552 lost
68	1741855723885207552 lost
69	1741855723905208320 lost
70	1741855723925208576 lost
71	1741855723945208576 lost
72	1741855723965208832 lost
73	1741855723985208832 lost
74	1741855724005209856 lost
75	1741855724025209600 lost
76	1741855724045210368 lost
77	1741855724065210112 lost
78	1741855724085210624 lost
79	1741855724105210624 lost
80	1741855724125210880 lost
81	1741855724145211136 lost
82	1741855724165211136 lost
83	1741855724185211648 lost
84	1741855724205211648 lost
85	1741855724225211904 lost
86	1741855724245212416 lost
87	1741855724265212672 lost
88	1741855724285212928 lost
89	1741855724305213184 lost
90	1741855724325216768 lost
91	1741855724345216000 lost
92	1741855724365214976 lost
93	1741855724385215488 lost
94	1741855724405216256 lost
95	1741855724425216256 lost
96	1741855724445216256 lost
97	1741855724465216512 lost
98	1741855724485216768 lost
99	1741855724505216768 lost
100	1741855724525217280 lost
101	1741855724545226496 lost
102	1741855724565218816 lost
103	1741855724585218304 lost
104	1741855724605218304 lost
105	1741855724625218304 lost
106	1741855724645218560 lost
107	1741855724665219072 lost
108	1741855724685219072 lost
109	1741855724705219584 lost
110	1741855724725219840 lost
111	1741855724745220096 lost
112	1741855724765219840 lost
113	1741855724785220352 lost
114	1741855724805220864 lost
115	1741855724825221376 lost
116	1741855724845220864 lost
117	1741855724865222400 lost
118	1741855724885222400 lost
119	1741855724905222400 lost
120	1741855724925222656 lost
121	1741855724945222656 lost
122	1741855724965222912 lost
123	1741855724985223168 lost
124	1741855725005222912 lost
125	1741855725025223168 lost
126	1741855725045223168 lost
127	1741855725065223168 lost
128	1741855725085223168 lost
129	1741855725105223168 lost
130	1741855725125223424 lost
131	1741855725145223168 lost
132	1741855725165223424 lost
133	1741855725185223680 lost
134	1741855725205223936 lost
135	1741855725225224448 lost
136	1741855725245224704 lost
137	1741855725265224960 lost
138	1741855725285225472 lost
139	1741855725305225984 lost
140	1741855725325225984 lost
141	1741855725345227264 lost
142	1741855725365226240 lost
143	1741855725385226240 lost
144	1741855725405226752 lost
145	1741855725425227008 lost
146	1741855725445227008 lost
147	1741855725465227264 lost
148	1741855725485227264 lost
149	1741855725505227520 lost
150	1741855725525227520 lost
151	1741855725545227520 lost
152	1741855725565227520 lost
153	1741855725585228032 lost
154	1741855725605228288 lost
155	1741855725625228544 lost
156	1741855725645228800 lost
157	1741855725665229056 lost
158	1741855725685229568 lost
159	1741855725705232128 lost
160	1741855725725231872 lost
161	1741855725745230336 lost
162	1741855725765229824 lost
163	1741855725785230848 lost
164	1741855725805230336 lost
165	1741855725825231616 lost
166	1741855725845232640 lost
167	1741855725865231104 lost
168	1741855725885231104 lost
169	1741855725905231616 lost
170	1741855725925231872 lost
171	1741855725945231872 lost
172	1741855725965231872 lost
173	1741855725985232384 lost
174	1741855726005232384 lost
175	1741855726025232640 lost
176	1741855726045232896 lost
177	1741855726065232896 lost
178	1741855726085233408 lost
179	1741855726105233408 lost
180	1741855726125233408 lost
181	1741855726145233920 lost
182	1741855726165233920 lost
183	1741855726185234176 lost
184	1741855726205233920 lost
185	1741855726225234688 lost
186	1741855726245234432 lost
187	1741855726265234176 lost
188	1741855726285234432 lost
189	1741855726305235200 lost
190	1741855726325234944 lost
191	1741855726345235200 lost
192	1741855726365235200 lost
193	1741855726385235200 lost
194	1741855726405236992 lost
195	1741855726425235712 lost
196	1741855726445236224 lost
197	1741855726465236224 lost
198	1741855726485236736 lost
199	1741855726505236992 lost
200	1741855726525236992 lost
201	1741855726545237248 lost
202	1741855726565237760 lost
203	1741855726585238016 lost
204	1741855726605238272 lost
205	1741855726625238784 lost
206	1741855726645239040 lost
207	1741855726665239296 lost
208	1741855726685239808 lost
209	1741855726705239552 lost
210	1741855726725240064 lost
