Sending interval between packets: Constant
Destination host IP address: 192.168.1.124
Destination port number: 1234
Number of UDP packets to transmit: 5000
Size of each UDP packet: 50 Byte
Value of ToS/DSCP field in IP header: 0
Interval between sending packets: 20 ms

Opening socket
Sockets are open with sender ToS/DSCP set to 0
Starting to send
SeqNr 	 SendTime 	 ServerTime 	 ReceiveTime 	 Client->Server 	 Server->Client 	 RTT (all times in ns)
0;1741812219019810560;1741812219031861504;1741812219031822336;12050944;-39168;12011776
1;1741812219039794944;1741812219042122752;1741812219041911808;2327808;-210944;2116864
2;1741812219059793152;1741812219062310400;1741812219065978880;2517248;3668480;6185728
3;1741812219079794944;1741812219082064384;1741812219081913344;2269440;-151040;2118400
4;1741812219099793408;1741812219102245120;1741812219102077440;2451712;-167680;2284032
5;1741812219119793152;1741812219122053376;1741812219121914368;2260224;-139008;2121216
6;1741812219139793152;1741812219142146304;1741812219142115840;2353152;-30464;2322688
7;1741812219159793152;1741812219162234880;1741812219162439424;2441728;204544;2646272
8;1741812219179793920;1741812219182084864;1741812219182125824;2290944;40960;2331904
9;1741812219199793920;1741812219201975296;1741812219201891072;2181376;-84224;2097152
10;1741812219219794432;1741812219222100480;1741812219222054144;2306048;-46336;2259712
11;1741812219239794944;1741812219242210304;1741812219242082304;2415360;-128000;2287360
12;1741812219259794688;1741812219262010880;1741812219261921536;2216192;-89344;2126848
13;1741812219279794688;1741812219281993472;1741812219281903104;2198784;-90368;2108416
14;1741812219299795200;1741812219302075648;1741812219302014720;2280448;-60928;2219520
15;1741812219319796224;1741812219322179328;1741812219322276864;2383104;97536;2480640
16;1741812219339799296;1741812219342056192;1741812219341998592;2256896;-57600;2199296
17;1741812219359796736;1741812219361895424;1741812219361972736;2098688;77312;2176000
18;1741812219379796736;1741812219381931520;1741812219381901568;2134784;-29952;2104832
19;1741812219399799040;1741812219401932544;1741812219401902592;2133504;-29952;2103552
20;1741812219419797504;1741812219424877056;1741812219424923392;5079552;46336;5125888
21;1741812219439797504;1741812219441965568;1741812219442427136;2168064;461568;2629632
22;1741812219459797760;1741812219461842432;1741812219461907200;2044672;64768;2109440
23;1741812219479798016;1741812219481886464;1741812219482319616;2088448;433152;2521600
24;1741812219499798272;1741812219502076672;1741812219502206720;2278400;130048;2408448
25;1741812219519798528;1741812219521842176;1741812219521910272;2043648;68096;2111744
26;1741812219539798528;1741812219542512896;1741812219542546688;2714368;33792;2748160
27;1741812219559798784;1741812219561866752;1741812219561967360;2067968;100608;2168576
28;1741812219579799296;1741812219582595072;1741812219582687488;2795776;92416;2888192
29;1741812219599799040;1741812219601784320;1741812219601848576;1985280;64256;2049536
30;1741812219619799808;1741812219621785344;1741812219621933568;1985536;148224;2133760
31;1741812219639799808;1741812219641812480;1741812219641943040;2012672;130560;2143232
32;1741812219659800576;1741812219663103744;1741812219664037120;3303168;933376;4236544
33;1741812219679800832;1741812219682191104;1741812219682323968;2390272;132864;2523136
34;1741812219699800832;1741812219701758976;1741812219702269696;1958144;510720;2468864
35;1741812219719801088;1741812219721765888;1741812219721991424;1964800;225536;2190336
36;1741812219739801088;1741812219741867776;1741812219742029568;2066688;161792;2228480
37;1741812219759801600;1741812219761665536;1741812219761789184;1863936;123648;1987584
38;1741812219779801600;1741812219782542336;1741812219782890752;2740736;348416;3089152
39;1741812219799802368;1741812219801796608;1741812219801985024;1994240;188416;2182656
40;1741812219819801856;1741812219821695488;1741812219821943808;1893632;248320;2141952
41;1741812219839802112;1741812219841795840;1741812219841972736;1993728;176896;2170624
42;1741812219859804928;1741812219861662720;1741812219861846272;1857792;183552;2041344
43;1741812219879803392;1741812219883922688;1741812219884229120;4119296;306432;4425728
44;1741812219899803392;1741812219901694208;1741812219901918976;1890816;224768;2115584
45;1741812219919803392;1741812219921743872;1741812219921976576;1940480;232704;2173184
46;1741812219939804160;1741812219941858304;1741812219942109696;2054144;251392;2305536
47;1741812219959804416;1741812219961706240;1741812219961938688;1901824;232448;2134272
48;1741812219979804160;1741812219981593856;1741812219981857536;1789696;263680;2053376
49;1741812219999804416;1741812220001656320;1741812220001932032;1851904;275712;2127616
50;1741812220019804672;1741812220021778176;1741812220022184704;1973504;406528;2380032
51;1741812220039804928;1741812220041888256;1741812220042160384;2083328;272128;2355456
52;1741812220059805184;1741812220062357248;1741812220062658560;2552064;301312;2853376
53;1741812220079805184;1741812220081696000;1741812220082077440;1890816;381440;2272256
54;1741812220099805440;1741812220101669376;1741812220102168832;1863936;499456;2363392
55;1741812220119805440;1741812220121696768;1741812220122191872;1891328;495104;2386432
56;1741812220139805440;1741812220141720832;1741812220142157056;1915392;436224;2351616
57;1741812220159805440;1741812220163196672;1741812220164608256;3391232;1411584;4802816
58;1741812220179805440;1741812220182637312;1741812220183993344;2831872;1356032;4187904
59;1741812220199805184;1741812220201538304;1741812220201908736;1733120;370432;2103552
60;1741812220219805952;1741812220222951680;1741812220223307264;3145728;355584;3501312
61;1741812220239805952;1741812220242572544;1741812220242977024;2766592;404480;3171072
62;1741812220259806464;1741812220261455104;1741812220261818112;1648640;363008;2011648
63;1741812220279807232;1741812220285262592;1741812220285762816;5455360;500224;5955584
64;1741812220299807488;1741812220301645824;1741812220302145280;1838336;499456;2337792
65;1741812220319807744;1741812220321484800;1741812220322091520;1677056;606720;2283776
66;1741812220339807744;1741812220341465088;1741812220341955072;1657344;489984;2147328
67;1741812220359808000;1741812220361411328;1741812220361891328;1603328;480000;2083328
68;1741812220379808256;1741812220381490688;1741812220381947648;1682432;456960;2139392
69;1741812220399808000;1741812220401427200;1741812220401982720;1619200;555520;2174720
70;1741812220419808512;1741812220422519808;1741812220423136000;2711296;616192;3327488
71;1741812220439808512;1741812220441370624;1741812220442066688;1562112;696064;2258176
72;1741812220459808768;1741812220461772544;1741812220463663872;1963776;1891328;3855104
73;1741812220479809280;1741812220481387008;1741812220481905920;1577728;518912;2096640
74;1741812220499809280;1741812220501478144;1741812220502101504;1668864;623360;2292224
75;1741812220519810048;1741812220521411840;1741812220522172928;1601792;761088;2362880
76;1741812220539810048;1741812220541323264;1741812220542124544;1513216;801280;2314496
77;1741812220559810304;1741812220562380288;1741812220563121152;2569984;740864;3310848
78;1741812220579810048;1741812220581329152;1741812220582144512;1519104;815360;2334464
79;1741812220599810560;1741812220602681344;1741812220603371008;2870784;689664;3560448
