Sending interval between packets: Constant
Destination host IP address: 192.168.1.124
Destination port number: 1234
Number of UDP packets to transmit: 250
Size of each UDP packet: 50 Byte
Value of ToS/DSCP field in IP header: 0
Interval between sending packets: 20 ms

Opening socket
Sockets are open with sender ToS/DSCP set to 0
Starting to send
SeqNr 	 SendTime 	 ServerTime 	 ReceiveTime 	 Client->Server 	 Server->Client 	 RTT (all times in ns)
0;1741855521731517184;1741855521738027264;1741855521740559360;6510080;2532096;9042176
1;1741855521751503104;1741855521752833792;1741855521753875200;1330688;1041408;2372096
2;1741855521771501824;1741855521772766976;1741855521773801728;1265152;1034752;2299904
3;1741855521791501568;1741855521792707840;1741855521793715200;1206272;1007360;2213632
4;1741855521811501312;1741855521813334528;1741855521814330880;1833216;996352;2829568
5;1741855521831501568;1741855521832569088;1741855521833637120;1067520;1068032;2135552
6;1741855521851501312;1741855521852719872;1741855521853716992;1218560;997120;2215680
7;1741855521871501824;1741855521872962816;1741855521873968384;1460992;1005568;2466560
8;1741855521891501824;1741855521892648704;1741855521893657088;1146880;1008384;2155264
9;1741855521911501312;1741855521912678400;1741855521913720576;1177088;1042176;2219264
10;1741855521931501568;1741855521935280384;1741855521936858624;3778816;1578240;5357056
11;1741855521951501312;1741855521952692736;1741855521953730816;1191424;1038080;2229504
12;1741855521971502080;1741855521972641280;1741855521973640192;1139200;998912;2138112
13;1741855521991502592;1741855521992656640;1741855521993698304;1154048;1041664;2195712
14;1741855522011502080;1741855522012729344;1741855522014406912;1227264;1677568;2904832
15;1741855522031502336;1741855522032685056;1741855522033748736;1182720;1063680;2246400
16;1741855522051502592;1741855522052677120;1741855522053746176;1174528;1069056;2243584
17;1741855522071502592;1741855522072773632;1741855522073781760;1271040;1008128;2279168
18;1741855522091502592;1741855522092691712;1741855522093708288;1189120;1016576;2205696
19;1741855522111502848;1741855522112729856;1741855522113732352;1227008;1002496;2229504
20;1741855522131503360;1741855522132603136;1741855522133590272;1099776;987136;2086912
21;1741855522151503616;1741855522152728320;1741855522153766400;1224704;1038080;2262784
22;1741855522171503616;1741855522172697600;1741855522174696448;1193984;1998848;3192832
23;1741855522191503872;1741855522192776192;1741855522193773056;1272320;996864;2269184
24;1741855522211503872;1741855522212799232;1741855522213809152;1295360;1009920;2305280
25;1741855522231504384;1741855522232513280;1741855522233529856;1008896;1016576;2025472
